index,host,source,sourcetype,"_raw","_time"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""CdfSvc"" Product=""Citrix Common Diagnostic Facility"" ProductVersion=""5.11"" Path=""C:\Program Files (x86)\Common Files\Citrix\System32\CdfSvc.exe"" CommandLine=""C:\Program Files (x86)\Common Files\Citrix\System32\CdfSvc.exe"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""Citrix.XenApp.Commands.Remoting.Service"" Product=""Citrix XenApp"" ProductVersion=""6.5.0.0"" Path=""C:\Program Files\Citrix\XenApp Commands\Citrix.XenApp.Commands.Remoting.Service.exe"" CommandLine=""C:\Program Files\Citrix\XenApp Commands\Citrix.XenApp.Commands.Remoting.Service.exe"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""CitrixCseEngine"" Product=""Citrix Group Policy Management"" ProductVersion=""1.5.0.0"" Path=""C:\Program Files\Citrix\Group Policy\Client-Side Extension\CitrixCseEngine.exe"" CommandLine=""C:\Program Files\Citrix\Group Policy\Client-Side Extension\CitrixCseEngine.exe"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""concentr"" Product=""Citrix ICA Client"" ProductVersion=""13.1.0"" Path=""C:\Program Files (x86)\Citrix\ICA Client\concentr.exe"" CommandLine=""C:\Program Files (x86)\Citrix\ICA Client\concentr.exe /startup"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""conhost"" Product=""Microsoftr Windowsr Operating System"" ProductVersion=""6.1.7600.16385"" Path=""C:\Windows\system32\conhost.exe"" CommandLine=""\??\C:\Windows\system32\conhost.exe 8097075341568393406157337441310332422-135448424357930398411583183201186184"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""CpSvc"" Product=""Citrix ICA Host"" ProductVersion=""6.2"" Path=""C:\Program Files (x86)\Citrix\system32\CpSvc.exe"" CommandLine=""C:\Program Files (x86)\Citrix\system32\CpSvc.exe"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""csrss"" Product=""Microsoftr Windowsr Operating System"" ProductVersion=""6.1.7600.16385"" Path=""C:\Windows\system32\csrss.exe"" CommandLine=""%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""CtxSvcHost"" Product=""Citrix ICA Host"" ProductVersion=""6.2"" Path=""C:\Program Files (x86)\Citrix\System32\CtxSvcHost.exe"" CommandLine=""C:\Program Files (x86)\Citrix\System32\CtxSvcHost.exe -g AudioSvcs"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""ctxxmlss"" Product=""Citrix XenApp"" ProductVersion=""6.0"" Path=""C:\Program Files (x86)\Citrix\System32\ctxxmlss.exe"" CommandLine=""C:\Program Files (x86)\Citrix\System32\ctxxmlss.exe"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
"xenapp_winevents","BD-XA65-03","Windows:PowerShell:getprocess.ps1","WMI:ProcessDetails","10/13/2012 20:22:06  - Name=""dwm"" Product=""Microsoftr Windowsr Operating System"" ProductVersion=""6.1.7600.16385"" Path=""C:\Windows\system32\Dwm.exe"" CommandLine=""C:\Windows\system32\Dwm.exe"" ScriptRunTime=""129945721248802960""","2012-10-12T22:22:06.000-0500"
